Facility name,Full Address,Starting Price,Facility Type,Facility Page URL,Number of beds estimated,Phone number,source
Life Care Center of Farmington,"1101 W Murray Drive, Farmington, NM 87401",Not available,Assisted Living,https://www.caring.com/senior-living/new-mexico/farmington/life-care-center-of-farmington-87401,144,(800) 558-0653,https://www.seniorcare.com/nursing-homes/nm/farmington/life-care-center-of-farmington/325103/
Riverside Center for Rehabilitation and Nursing,"90 N Main St, Castleton on Hudson, NY 12033",Not available,Assisted Living,https://www.caring.com/senior-living/new-york/castleton-on-hudson/riverside-center-for-rehabilitation-and-nursing,80,(800) 558-0653,https://www.seniorcare.com/nursing-homes/ny/castleton-on-hudson/riverside-center-for-rehabilitation-and-nursing/335525/
"The Wesley Community Saratoga Springs, NY","131 Lawrence Street, Saratoga Springs, NY 12866",Not available,Assisted Living,https://www.caring.com/senior-living/new-york/saratoga-springs/the-wesley-community-12866,356,(800) 558-0653,https://www.seniorcare.com/nursing-homes/ny/saratoga-springs/wesley-health-care-center-inc/335394/
The Pines at Heartwood,"2405 15th Street, Troy, NY 12180",Not available,Assisted Living,https://www.caring.com/senior-living/new-york/troy/the-pines-at-heartwood,86,(800) 558-0653,https://www.seniorcare.com/assisted-living/ny/troy/the-pines-at-heartwood/34869/
The Arbors of del Rey,"3731 Del Rey Boulevard, Las Cruces, NM 88012",Not available,Assisted Living,https://www.caring.com/senior-living/new-mexico/las-cruces/the-arbors-of-del-rey,24,(800) 558-0653,https://www.seniorcare.com/assisted-living/nm/las-cruces/arbors-of-del-rey/34330/
Tender Heart Assisted Living,"4308 Tulane Drive NE, Albuquerque, NM 87107",Not available,Assisted Living,https://www.caring.com/senior-living/new-mexico/albuquerque/tender-heart-assisted-living,8,(800) 558-0653,https://www.seniorcare.com/assisted-living/nm/albuquerque/tender-heart-assisted-living/34521/
Dayhaven,"107 Nott Ter, Schenectady, NY 12308",Not available,Assisted Living,https://www.caring.com/senior-living/new-york/schenectady/dayhaven,Unknown,(800) 558-0653,https://www.seniorcare.com/adult-day-care/ny/schenectady/dayhaven-adult-care/2889/
Casa Contenta Assisted Living LLC,"4805 Somberete Road Se, Rio Rancho, NM 87124",Not available,Assisted Living,https://www.caring.com/senior-living/new-mexico/rio-rancho/casa-contenta-assisted-living-llc,5,(800) 558-0653,https://www.seniorcare.com/assisted-living/nm/rio-rancho/casa-contenta-assisted-living/34379/
Saratoga Memory Care Residence,"390 Church Street, Saratoga Springs, NY 12866",Not available,Assisted Living,https://www.caring.com/senior-living/new-york/saratoga-springs/saratoga-memory-care-residence,Unknown,(800) 558-0653,Not found
BeeHive Homes of Volcano Cliffs,"6230 Montaño Rd, Albuquerque, NM 87120",Not available,Assisted Living,https://www.caring.com/senior-living/new-mexico/albuquerque/beehive-homes-of-volcano-cliffs,Unknown,(800) 558-0653,https://www.seniorcare.com/home-care/nm/albuquerque/beehive-village/73761/
Willow Manor,"815 W Adobe Dr, Deming, NM 88030",Not available,Assisted Living,https://www.caring.com/senior-living/new-mexico/deming/willow-manor,57,(800) 558-0653,Not found
Schuyler Ridge A Residential H C F,"1 Abele Boulevard, Clifton Park, NY 12065",Not available,Assisted Living,https://www.caring.com/senior-living/new-york/clifton-park/schuyler-ridge-a-residential-h-c-f-12065,120,(800) 558-0653,https://www.seniorcare.com/nursing-homes/ny/clifton-park/seton-health-at-schuyler-ridge-residential-h-c/335774/
Good Life Senior Living Lovington,"1706 N 2nd St, Lovington, NM 88260",Not available,Assisted Living,https://www.caring.com/senior-living/new-mexico/lovington/good-life-senior-living-lovington,16,(800) 558-0653,https://www.seniorcare.com/assisted-living/nm/lovington/good-life-senior-living-and-memory-care/56703/
