Facility name,Full Address,Starting Price,Facility Type,Facility Page URL,Number of beds estimated,Phone number,source
Vita Amorosa Asst Living,"7722 N 38Th Ave, Phoenix, AZ 85051",Not available,Assisted Living,https://www.caring.com/senior-living/arizona/phoenix/vita-amorosa-asst-living,Unknown,(800) 558-0653,Not found
Sunflower's Home,"8429 Sunrise Blvd, Citrus Heights, CA 95610",Not available,Assisted Living,https://www.caring.com/senior-living/california/citrus-heights/sunflower-s-home,6,(800) 558-0653,https://www.seniorcare.com/assisted-living/ca/citrus-heights/sunflower-s-home/52669/
Avery Heights,"550 Avery Heights, Hartford, CT 06106","$4,340",Assisted Living,https://www.caring.com/senior-living/connecticut/hartford/avery-heights-hartford,Unknown,(800) 558-0653,https://www.seniorcare.com/assisted-living/ct/hartford/avery-heights-assisted-living-services-agency/11450/
Care Castle ALF (Oak Haven),"9110 Star Trl, Port Richey, FL 34654",Not available,Assisted Living,https://www.caring.com/senior-living/florida/port-richey/care-castle-alf-oak-haven-34654,Unknown,(800) 558-0653,Not found
Taylor Hospice,"300 Johnson Avenue, Ridley Park, PA 19078",Not available,Assisted Living,https://www.caring.com/senior-care/pennsylvania/ridley-park/taylor-hospice-19078,Unknown,(800) 558-0653,https://www.seniorcare.com/home-care/pa/ridley-park/taylor-hospice/69897/
Alert Adult Care Inc,"10247 W. Missouri Avenue, Glendale, AZ 85307",Not available,Assisted Living,https://www.caring.com/senior-living/arizona/glendale/alert-adult-care-inc,Unknown,(800) 558-0653,Not found
Stocker Group Homes,"629 South Townsend, Santa Ana, CA 92703",Not available,Assisted Living,https://www.caring.com/senior-living/california/santa-ana/stocker-group-homes,Unknown,(800) 558-0653,Not found
The Canopy at Harper Lake,"213 NW Gleason Dr, Lake City, FL 32055",Not available,Assisted Living,https://www.caring.com/senior-living/florida/lake-city/the-canopy-at-harper-lake,Unknown,(800) 558-0653,Not found
Broxton Assisted Living,"2233 Pate Pond Road, Caryville, FL 32427","$6,150",Assisted Living,https://www.caring.com/senior-living/florida/caryville/broxton-assisted-living,Unknown,(800) 558-0653,Not found
Luna 11 Inc,"3783 S.W. 97 Avenue, Miami, FL 33165",Not available,Assisted Living,https://www.caring.com/senior-living/florida/miami/luna-11-inc-33165,Unknown,(800) 558-0653,Not found
Oasis (The),"425 Daytona Avenue, Holly Hill, FL 32117",Not available,Assisted Living,https://www.caring.com/senior-living/florida/holly-hill/oasis-the,Unknown,(800) 558-0653,https://www.seniorcare.com/assisted-living/fl/holly-hill/oasis-the-/13418/
Sunrise of Cupertino,"581 E. Fremont Ave., Sunnyvale, CA 94087","$9,333",Assisted Living,https://www.caring.com/senior-living/california/sunnyvale/sunrise-of-cupertino,Unknown,(800) 558-0653,Not found
