Facility name,Full Address,Starting Price,Facility Type,Facility Page URL,Number of beds estimated,Phone number,source,SeniorCareAuthority URL
Vita Amorosa Asst Living,"7722 N 38Th Ave, Phoenix, AZ 85051",Not available,Assisted Living,https://www.caring.com/senior-living/arizona/phoenix/vita-amorosa-asst-living,Unknown,(800) 558-0653,Not found,Not found
Sunflower's Home,"8429 Sunrise Blvd, Citrus Heights, CA 95610",Not available,Assisted Living,https://www.caring.com/senior-living/california/citrus-heights/sunflower-s-home,Unknown,(800) 558-0653,https://www.seniorcare.com/assisted-living/ca/citrus-heights/sunflower-s-home/52669/,Error
Avery Heights,"550 Avery Heights, Hartford, CT 06106","$4,340",Assisted Living,https://www.caring.com/senior-living/connecticut/hartford/avery-heights-hartford,Unknown,(800) 558-0653,https://www.seniorcare.com/assisted-living/ct/hartford/avery-heights-assisted-living-services-agency/11450/,https://www.seniorcareauthority.com/assisted-living/avery-heights.html
Care Castle ALF (Oak Haven),"9110 Star Trl, Port Richey, FL 34654",Not available,Assisted Living,https://www.caring.com/senior-living/florida/port-richey/care-castle-alf-oak-haven-34654,Unknown,(800) 558-0653,Not found,Not found
Taylor Hospice,"300 Johnson Avenue, Ridley Park, PA 19078",Not available,Assisted Living,https://www.caring.com/senior-care/pennsylvania/ridley-park/taylor-hospice-19078,Unknown,(800) 558-0653,https://www.seniorcare.com/home-care/pa/ridley-park/taylor-hospice/69897/,Not found
Alert Adult Care Inc,"10247 W. Missouri Avenue, Glendale, AZ 85307",Not available,Assisted Living,https://www.caring.com/senior-living/arizona/glendale/alert-adult-care-inc,Unknown,(800) 558-0653,Not found,Not found
Stocker Group Homes,"629 South Townsend, Santa Ana, CA 92703",Not available,Assisted Living,https://www.caring.com/senior-living/california/santa-ana/stocker-group-homes,Unknown,(800) 558-0653,Not found,Not found
The Canopy at Harper Lake,"213 NW Gleason Dr, Lake City, FL 32055",Not available,Assisted Living,https://www.caring.com/senior-living/florida/lake-city/the-canopy-at-harper-lake,Unknown,(800) 558-0653,Not found,https://www.seniorcareauthority.com/assisted-living/canopy-at-harper-lake-the-in-lake-city-florida.html
Broxton Assisted Living,"2233 Pate Pond Road, Caryville, FL 32427","$6,150",Assisted Living,https://www.caring.com/senior-living/florida/caryville/broxton-assisted-living,Unknown,(800) 558-0653,Not found,https://www.seniorcareauthority.com/assisted-living/broxtons-aclf-in-caryville-florida.html
Luna 11 Inc,"3783 S.W. 97 Avenue, Miami, FL 33165",Not available,Assisted Living,https://www.caring.com/senior-living/florida/miami/luna-11-inc-33165,Unknown,(800) 558-0653,Not found,Error
Oasis (The),"425 Daytona Avenue, Holly Hill, FL 32117",Not available,Assisted Living,https://www.caring.com/senior-living/florida/holly-hill/oasis-the,Unknown,(800) 558-0653,https://www.seniorcare.com/assisted-living/fl/holly-hill/oasis-the-/13418/,https://www.seniorcareauthority.com/assisted-living/the-oasis-alf-in-holly-hill-florida.html
Sunrise of Cupertino,"581 E. Fremont Ave., Sunnyvale, CA 94087","$9,333",Assisted Living,https://www.caring.com/senior-living/california/sunnyvale/sunrise-of-cupertino,Unknown,(800) 558-0653,Not found,Not found
Legacy Villa Senior Care,"21012 Doble Avenue, Torrance, CA 90502",Not available,Assisted Living,https://www.caring.com/senior-living/california/torrance/legacy-villa-senior-care,Unknown,(800) 558-0653,Not found,Not found
Maplewood at Danbury,"22 Hospital Avenue, Danbury, CT 06810","$5,975",Assisted Living,https://www.caring.com/senior-living/connecticut/danbury/maplewood-at-danbury-06810,Unknown,(800) 558-0653,https://www.seniorcare.com/assisted-living/ct/danbury/maplewood-at-danbury-alsa/11493/,Error
Scofield Manor,"614 Scofieldtown Rd, Stamford, CT 06903",Not available,Assisted Living,https://www.caring.com/senior-living/connecticut/stamford/scofield-manor-06905,Unknown,(800) 558-0653,Not found,Error
Grand Living at Coral Gables,"363 Granello Ave, Coral Gables, FL 33146",Not available,Assisted Living,https://www.caring.com/senior-living/florida/coral-gables/grand-living-at-coral-gables,Unknown,(800) 558-0653,Not found,https://www.seniorcareauthority.com/assisted-living/coral-gables-33146.html
Serene Oaks Ii,"475 Peacock Way, Vacaville, CA 95688",Not available,Assisted Living,https://www.caring.com/senior-living/california/vacaville/serene-oaks-ii-vacaville,Unknown,(800) 558-0653,https://www.seniorcare.com/assisted-living/ca/vacaville/serene-oaks-ii/9366/,https://www.seniorcareauthority.com/assisted-living/serene-oaks-ii-in-vacaville-california.html
Seacrest,"588 Ocean Avenue, West Haven, CT 06516",Not available,Assisted Living,https://www.caring.com/senior-living/connecticut/west-haven/seacrest-06516,Unknown,(800) 558-0653,Not found,https://www.seniorcareauthority.com/assisted-living/seacrest-retirement-center-in-west-haven-seacrest-retirement-center.html
Sunnydays Assisted Living,"169 NE Prima Vista Blvd, Fort Pierce, FL 34983",Not available,Assisted Living,https://www.caring.com/senior-living/florida/fort-pierce/sunnydays-assisted-living,Unknown,(800) 558-0653,https://www.seniorcare.com/assisted-living/fl/port-st-lucie/sunnydays-alf/14031/,Not found
Yong Care Home (Palmdale),"2039 W. Avenue M-12, Palmdale, CA 93551",Not available,Assisted Living,https://www.caring.com/senior-living/california/palmdale/yong-care-home-palmdale-palmdale,Unknown,(800) 558-0653,Not found,Not found
Capstone Village,"601 Peter Bryce Blvd, Tuscaloosa, AL 35401",Not available,Assisted Living,https://www.caring.com/senior-living/alabama/tuscaloosa/capstone-village-tuscaloosa-35401,Unknown,(800) 558-0653,Not found,Not found
The Palazzo,"6250 N 19th Ave, Phoenix, AZ 85015","$2,800",Assisted Living,https://www.caring.com/senior-living/arizona/phoenix/the-palazzo,Unknown,(800) 558-0653,Not found,Not found
Agape Senior Care Home,"14650 Pamlico Road, Apple Valley, CA 92307",Not available,Assisted Living,https://www.caring.com/senior-living/california/apple-valley/agape-senior-care-home-apple-valley,Unknown,(800) 558-0653,https://www.seniorcare.com/assisted-living/ca/apple-valley/agape-senior-care-home/3131/,https://www.seniorcareauthority.com/assisted-living/agape-senior-care-home-apple-valley.html
Bay Port of Fort Walton Beach,"243 Hollywood Blvd. NW, Fort Walton Beach, FL 32548","$3,875",Assisted Living,https://www.caring.com/senior-living/florida/fort-walton-beach/bay-port-of-fort-walton-beach,Unknown,(800) 558-0653,Not found,https://www.seniorcareauthority.com/assisted-living/bay-port-of-fwb.html
VA Eastern Colorado Health Care System,"1055 Clermont St, Denver, CO 80220",Not available,Assisted Living,https://www.caring.com/senior-living/colorado/denver/va-eastern-colorado-health-care-system,Unknown,(800) 558-0653,Not found,https://www.seniorcareauthority.com/assisted-living/memory-care-facility-loveland-larimer-colorado.html
Autumn Villas,"5874 Honors Drive, San Diego, CA 92122",Not available,Assisted Living,https://www.caring.com/senior-living/california/san-diego/autumn-villas,Unknown,(800) 558-0653,https://www.seniorcare.com/assisted-living/ca/san-diego/autumn-villas-on-honors-drive/51015/,https://www.seniorcareauthority.com/assisted-living/autumn-villas-on-honors-drive-in-san-diego-california.html
Magnolia Wood Lodge IV,"1655 Elba Hwy, Troy, AL 36079",Not available,Assisted Living,https://www.caring.com/senior-living/alabama/troy/magnolia-wood-lodge-iv,Unknown,(800) 558-0653,Not found,Not found
Carmen's Care Manor #1,"1544 Darrah Ave, Simi Valley, CA 93063","$2,200",Assisted Living,https://www.caring.com/senior-living/california/simi-valley/carmens-care-manor-93063,Unknown,(800) 558-0653,https://www.seniorcare.com/assisted-living/ca/simi-valley/carmen-s-care-manor/4389/,Not found
By Your Side Senior Living,"1329 South Royal Palm Road, Apache Junction, AZ 85119",Not available,Assisted Living,https://www.caring.com/senior-living/arizona/apache-junction/by-your-side-senior-living,Unknown,(800) 558-0653,Not found,Not found
The Canopy on Berryhill,"3343 Berryhill Rd, Pace, FL 32571",Not available,Assisted Living,https://www.caring.com/senior-living/florida/pace/the-canopy-on-berryhill-32571,Unknown,(800) 558-0653,Not found,Not found
1st Class Board and Care,"9524 Encino Ave, Northridge, CA 91325","$4,500",Assisted Living,https://www.caring.com/senior-living/california/northridge/1st-class-board-and-care,Unknown,(888) 864-8318,Not found,https://www.seniorcareauthority.com/assisted-living/karens-board-and-care-in-northridge-california.html
