Facility name,Full Address,Starting Price,Facility Type,Facility Page URL,Number of beds estimated,Phone number,source
"Greenwood Place Assisted Living Facility, LLC","105 S. Greenwood St., Geneva, AL 36340",Not available,Assisted Living,https://www.caring.com/senior-living/alabama/geneva/greenwood-place-assisted-living-facility-llc,16,(800) 558-0653,https://www.seniorcare.com/assisted-living/al/geneva/greenwood-place/38/
Heritage Residential Care Village,"1001 Snows Mill Ave., Tuscaloosa, AL 35406",Not available,Assisted Living,https://www.caring.com/senior-living/alabama/tuscaloosa/heritage-residential-care-village,15,(800) 558-0653,https://www.seniorcare.com/assisted-living/al/tuscaloosa/heritage-residential-care-village-building-2/90/
Greenbriar At The Altamont,"2831 Highland Avenue South, Birmingham, AL 35205",Not available,Assisted Living,https://www.caring.com/senior-living/alabama/birmingham/greenbriar-at-the-altamont-35205,46,(800) 558-0653,https://www.seniorcare.com/assisted-living/al/birmingham/greenbriar-at-the-altamont-assisted-living-facility/53823/
Shelby Ridge Health & Rehab,"750 AL Hwy 75 N, Albertville, AL 35951",Not available,Assisted Living,https://www.caring.com/senior-living/alabama/albertville/shelby-ridge-health-rehab,159,(800) 558-0653,https://www.seniorcare.com/nursing-homes/al/alabaster/shelby-ridge-nursing-home/15411/
Mountain Cove Luxury Senior Care,"42132 N Mountain Cove Dr, Anthem, AZ 85086","$6,000",Assisted Living,https://www.caring.com/senior-living/arizona/anthem/mountain-cove-luxury-senior-care,Unknown,(800) 558-0653,Not found
The Village at Cook Springs,"415 Cook Springs Road, Pell City, AL 35125",Not available,Assisted Living,https://www.caring.com/senior-living/alabama/pell-city/the-village-at-cook-springs-35052,168,(800) 558-0653,https://www.seniorcare.com/nursing-homes/al/pell-city/village-at-cook-springs-skilled-nursing-facility/15195/
Valley Park Manor,"10 Medical Park North, Valley, AL 36854",Not available,Assisted Living,https://www.caring.com/senior-living/alabama/valley/valley-park-manor,56,(800) 558-0653,https://www.seniorcare.com/assisted-living/al/valley/valley-park-manor/53793/
Self Nursing Home LLC,"129 E Crest Rd, Bessemer, AL 35023",Not available,Assisted Living,https://www.caring.com/senior-living/alabama/bessemer/self-nursing-home-llc-35023,Unknown,(800) 558-0653,Not found
Lakewood Senior Living of Valley,"7200 Fairfax Bypass, Valley, AL 36854",Not available,Assisted Living,https://www.caring.com/senior-living/alabama/valley/lakewood-senior-living-of-valley-36854,16,(800) 558-0653,https://www.seniorcare.com/assisted-living/al/valley/lakewood-specialty-care-of-valley/100/
Wills Creek Village,"1050 Airport Road West, Fort Payne, AL 35968",Not available,Assisted Living,https://www.caring.com/senior-living/alabama/fort-payne/wills-cåreek-village-fort-payne,40,(800) 558-0653,https://www.seniorcare.com/assisted-living/al/fort-payne/wills-creek-village/53856/
Kirkwood by the River,"3605 Ratliff Rd, Birmingham, AL 35210",Not available,Assisted Living,https://www.caring.com/senior-living/alabama/birmingham/kirkwood-by-the-river-35210,61,(800) 558-0653,https://www.seniorcare.com/nursing-homes/al/birmingham/kirkwood-by-the-river/15457/
Briar Rose Assisted Living,"174 W. Spruce Ave, Wasilla, AK 99654",Not available,Assisted Living,https://www.caring.com/senior-living/alaska/wasilla/briar-rose-assisted-living,10,(800) 558-0653,https://www.seniorcare.com/assisted-living/ak/wasilla/briar-rose-assisted-living-facility/675/
Westbrook Assisted Living,"100 W. Lake Professional Park, Suite 6, Geneva, AL 36340",Not available,Assisted Living,https://www.caring.com/senior-living/alabama/geneva/westbrook-assisted-living,16,(800) 558-0653,https://www.seniorcare.com/assisted-living/al/geneva/westbrook-assisted-living/53855/
Wesley Acres,"700 Cedar Lake Road Southwest, Decatur, AL 35603",Not available,Assisted Living,https://www.caring.com/senior-living/alabama/decatur/wesley-acres-35603,Unknown,(800) 558-0653,Not found
Redstone Village,"12000 Turnmeyer Dr, Huntsville, AL 35803","$4,700",Assisted Living,https://www.caring.com/senior-living/alabama/huntsville/redstone-village-35803,48,(800) 558-0653,Not found
Rose Wood Manor,"1513 Country Park Road, Scottsboro, AL 35769","$3,500",Assisted Living,https://www.caring.com/senior-living/alabama/scottsboro/rose-wood-manor-scottsboro-35769,16,(800) 558-0653,https://www.seniorcare.com/assisted-living/al/scottsboro/rosewood-manor-assisted-living/47/
The Terrace at Priceville,"200 Terrace Lane, Decatur, AL 35603","$2,700",Assisted Living,https://www.caring.com/senior-living/alabama/decatur/the-terrace-at-priceville-35603,62,(800) 558-0653,https://www.seniorcare.com/assisted-living/al/decatur/the-terrace-at-priceville-specialty-care-assisted-living-facility/177/
Bridgewood Gardens,"151 Woodham Drive, Albertville, AL 35951","$2,575",Assisted Living,https://www.caring.com/senior-living/alabama/albertville/bridgewood-gardens,60,(800) 558-0653,https://www.seniorcare.com/assisted-living/al/albertville/bridgewood-gardens-assisted-living/142/
John Knox At Arrowhead,"9081 Atlanta Highway, Montgomery, AL 36117",Not available,Assisted Living,https://www.caring.com/senior-living/alabama/montgomery/john-knox-at-arrowhead-36117,98,(800) 558-0653,https://www.seniorcare.com/nursing-homes/al/montgomery/john-knox-manor-inc-i-i/15135/
John Knox Manor,"4401 Narrow Lane Rd, Montgomery, AL 36116",Not available,Assisted Living,https://www.caring.com/senior-living/alabama/montgomery/john-knox-manor-36116,98,(800) 558-0653,https://www.seniorcare.com/nursing-homes/al/montgomery/john-knox-manor-inc-i-i/15135/
Crowne Place,"3720 Dauphin Street, Mobile, AL 36608","$2,965",Assisted Living,https://www.caring.com/senior-living/alabama/mobile/crowne-place,80,(800) 558-0653,https://www.seniorcare.com/assisted-living/al/mobile/crowne-place-assisted-living/53817/
The Magnolia Gardens Assisted Living,"520 Lasalle St, Gadsden, AL 35906",Not available,Assisted Living,https://www.caring.com/senior-living/alabama/gadsden/the-magnolia-gardens-assisted-living,16,(800) 558-0653,https://www.seniorcare.com/assisted-living/al/rainbow-city/magnolia-gardens-assisted-living/53831/
Brookdale Jones Farm,"2815 Carl T Jones Dr. SE, Huntsville, AL 35802","$3,285",Assisted Living,https://www.caring.com/senior-living/alabama/huntsville/brookdale-place-jones-farm-35802,60,(800) 558-0653,https://www.seniorcare.com/assisted-living/al/huntsville/brookdale-jones-farm/53804/
The Crossings at Eastchase,"2551 Eastchase Lane, Montgomery, AL 36117","$3,395",Assisted Living,https://www.caring.com/senior-living/alabama/montgomery/the-crossings-at-eastchase,73,(800) 558-0653,https://www.seniorcare.com/assisted-living/al/montgomery/the-crossings-at-eastchase-assisted-living/53769/
Serenity Place Assisted Living & Memory Care,"741 Houston Loop Rd W, Fort Payne, AL 35968",Not available,Assisted Living,https://www.caring.com/senior-living/alabama/fort-payne/serenity-place-assisted-living-and-memory-care-35968,16,(800) 558-0653,https://www.seniorcare.com/assisted-living/al/fort-payne/serenity-place-i/53024/
Oaks on Parkwood,"2651 Laurel Oaks Dr, Bessemer, AL 35022",Not available,Assisted Living,https://www.caring.com/senior-living/alabama/bessemer/oaks-on-parkwood-bessemer-35022,80,(800) 558-0653,https://www.seniorcare.com/assisted-living/al/bessemer/oaks-on-parkwood-assisted-living-facility/53788/
Country Cottage - Huntsville,"4200 Chris Dr. S.W., Huntsville, AL 35802","$2,530",Assisted Living,https://www.caring.com/senior-living/alabama/huntsville/country-cottage-huntsville-35802,16,(800) 558-0653,https://www.seniorcare.com/assisted-living/al/huntsville/country-cottage-huntsville-ivy/53766/
