Facility name,Full Address,Starting Price,Facility Type,Facility Page URL,Number of beds estimated,Phone number,source
Mountain Cove Luxury Senior Care,"42132 N Mountain Cove Dr, Anthem, AZ 85086","$6,000",Assisted Living,https://www.caring.com/senior-living/arizona/anthem/mountain-cove-luxury-senior-care,Unknown,(800) 558-0653,Not found
Self Nursing Home LLC,"129 E Crest Rd, Bessemer, AL 35023",Not available,Assisted Living,https://www.caring.com/senior-living/alabama/bessemer/self-nursing-home-llc-35023,Unknown,(800) 558-0653,Not found
Wesley Acres,"700 Cedar Lake Road Southwest, Decatur, AL 35603",Not available,Assisted Living,https://www.caring.com/senior-living/alabama/decatur/wesley-acres-35603,Unknown,(800) 558-0653,Not found
The Crossings at Eastchase,"2551 Eastchase Lane, Montgomery, AL 36117","$3,395",Assisted Living,https://www.caring.com/senior-living/alabama/montgomery/the-crossings-at-eastchase,Unknown,(800) 558-0653,https://www.seniorcare.com/assisted-living/al/montgomery/the-crossings-at-eastchase-assisted-living/53769/
CLOSED - Stacey Manor,"1045 N. Novatan Rd., Mobile, AL 36535",Not available,Assisted Living,https://www.caring.com/senior-living/alabama/mobile/closed-stacey-manor,Unknown,(800) 558-0653,Not found
Bethesda Assisted Living Home,"2721 West 69th Avenue, Anchorage, AK 99502",Not available,Assisted Living,https://www.caring.com/senior-living/alaska/anchorage/bethesda-assisted-living-home,Unknown,(800) 558-0653,Not found
Homestead Village of Fairhope,"924 Plantation Blvd., Fairhope, AL 36532","$1,650",Assisted Living,https://www.caring.com/senior-living/alabama/fairhope/homestead-village-of-fairhope-36532,Unknown,(800) 558-0653,Not found
Taylored Cozy Care Assisted Living Home,"6441 Coach Circle, Anchorage, AK 99507",Not available,Assisted Living,https://www.caring.com/senior-living/alaska/anchorage/taylored-cozy-care-assisted-living-home,Unknown,(800) 558-0653,https://www.seniorcare.com/assisted-living/ak/anchorage/taylored-cozy-care-assisted-living-home/45910/
Capstone Village,"601 Peter Bryce Blvd, Tuscaloosa, AL 35401",Not available,Assisted Living,https://www.caring.com/senior-living/alabama/tuscaloosa/capstone-village-tuscaloosa-35401,Unknown,(800) 558-0653,Not found
South Highland Adult Care Center,"2035 Highland Ave., Birmingham, AL 35205",Not available,Assisted Living,https://www.caring.com/senior-living/alabama/birmingham/south-highland-adult-care-center,Unknown,(800) 558-0653,Not found
Thomas Center for Senior Leadership,"2190 E. Tudor Road,, Anchorage, AK 99507",Not available,Assisted Living,https://www.caring.com/senior-living/alaska/anchorage/thomas-center-for-senior-leadership,Unknown,(800) 558-0653,Not found
Affinity Hospice,"216 Aquarius Dr Suite 306, Birmingham, AL 35209",Not available,Assisted Living,https://www.caring.com/senior-living/alabama/birmingham/affinity-hospice,Unknown,(800) 558-0653,https://www.seniorcare.com/home-care/al/birmingham/affinity-home-hospice-services/53809/
Magnolia Trace,"1 Clubhouse Avenue Southwest, Huntsville, AL 35802",Not available,Assisted Living,https://www.caring.com/senior-living/alabama/huntsville/magnolia-trace-35802,Unknown,(800) 558-0653,Not found
Summer Village,"1601 Professional Parkway, Auburn, AL 36830",Not available,Assisted Living,https://www.caring.com/senior-living/alabama/auburn/summer-village,Unknown,(800) 558-0653,https://www.seniorcare.com/assisted-living/al/auburn/summer-village-azalea-place/56/
Keen Eye Assisted Living Inc,"1125 West Jones Drive, Wasilla, AK 99654","$6,500",Assisted Living,https://www.caring.com/senior-living/alaska/wasilla/keen-eye-assisted-living-inc,Unknown,(800) 558-0653,https://www.seniorcare.com/assisted-living/ak/wasilla/keen-eye-care-assisted-living-wasilla/54321/
Helping Hands Assisted living,"2781 North Wallace Drive, Montgomery, AL 36116","$1,800",Assisted Living,https://www.caring.com/senior-living/alabama/montgomery/helping-hands-assisted-living-36116,Unknown,(800) 558-0653,https://www.seniorcare.com/home-care/al/montgomery/helping-hand-home-health-care-agency/72885/
Arizuma Horizons Assisted Living,"23221 North 121st Dr., Sun City, AZ 85373","$3,200",Assisted Living,https://www.caring.com/senior-living/arizona/sun-city/arizuma-horizons-assisted-living-sun-city,Unknown,(602) 786-5754,Not found
CaraVita Village,"4000 Fieldcrest Drive, Montgomery, AL 36111",Not available,Assisted Living,https://www.caring.com/senior-living/alabama/montgomery/caravita-village-36111,Unknown,(800) 558-0653,Not found
Premium Comfort Care,"10751 W Rowel Rd, Peoria, AZ 85383","$3,000",Assisted Living,https://www.caring.com/senior-living/arizona/peoria/premium-comfort-care,Unknown,(800) 558-0653,Not found
Compassionate Senior Care LLC,"4029 W Hayward Ave, Phoenix, AZ 85051","$3,400",Assisted Living,https://www.caring.com/senior-living/arizona/phoenix/compassionate-senior-care-llc,Unknown,(888) 606-2989,Not found
Auburn Assisted Living,"350 Samford Village, Auburn, AL 36830",Not available,Assisted Living,https://www.caring.com/senior-living/alabama/auburn/auburn-assisted-living-36830,Unknown,(800) 558-0653,Not found
Arbor Ridge Senior Living,"9257 W. Union Hills Drive, Peoria, AZ 85382","$3,395",Assisted Living,https://www.caring.com/senior-living/arizona/peoria/arbor-ridge-senior-living-peoria-arizona,Unknown,(800) 558-0653,Not found
