Facility name,Full Address,Starting Price,Facility Type,Facility Page URL,Number of beds estimated,Phone number,source
Lakeshore Manor at Lake Jackson,"2397 US Hwy 27 S , Sebring, FL 33870",Not available,Assisted Living,https://www.caring.com/senior-living/florida/sebring/lakeshore-manor-at-lake-jackson-33870,40,(800) 558-0653,https://www.seniorcare.com/assisted-living/fl/sebring/the-manor-at-lake-jackson/50644/
Villa Margo I Inc,"3644 Sw 22 Terrace, Miami, FL 33145",Not available,Assisted Living,https://www.caring.com/senior-living/florida/miami/villa-margo-i-inc,6,(800) 558-0653,https://www.seniorcare.com/assisted-living/fl/miami/villa-margo-i/14229/
The Palms of Sebring,"725 S Pine St, Sebring, FL 33870","$1,500",Assisted Living,https://www.caring.com/senior-living/florida/sebring/the-palms-of-sebring,141,(800) 558-0653,https://www.seniorcare.com/assisted-living/fl/sebring/palms-of-sebring-the-/13498/
Watercrest Spanish Springs,"930 Alverez Avenue, The Villages, FL 32159","$3,755",Assisted Living,https://www.caring.com/senior-living/florida/the-villages/watercrest-spanish-springs,Unknown,(800) 558-0653,Not found
Fellowship Home at The Fairway,"5959 Sun N Lake Blvd, Sebring, FL 33872",Not available,Assisted Living,https://www.caring.com/senior-living/florida/sebring/fellowship-home-at-the-fairway,57,(800) 558-0653,Not found
Florida Access Care,"4805 Vilabella Dr., Sebring, FL 33872","$3,995",Assisted Living,https://www.caring.com/senior-living/florida/sebring/florida-access-care,8,(855) 610-4243,Not found
Abbie Jean Russell Care Center,"700 S 29th St, Fort Pierce, FL 34947",Not available,Assisted Living,https://www.caring.com/senior-living/florida/fort-pierce/abbie-jean-russell-care-center,79,(800) 558-0653,Not found
Southern Lifestyle Senior Living Center,"1297 US 27 North, Lake Placid, FL 33852",Not available,Assisted Living,https://www.caring.com/senior-living/florida/lake-placid/southern-lifestyle-senior-living-center,97,(800) 558-0653,https://www.seniorcare.com/assisted-living/fl/lake-placid/southern-lifestyle-senior-living-center/13920/
Sunny Hills ALF of Sebring,"3600 Commerce Center Drive, Sebring, FL 33870",Not available,Assisted Living,https://www.caring.com/senior-living/florida/sebring/sunny-hills-alf-of-sebring,100,(800) 558-0653,https://www.seniorcare.com/assisted-living/fl/sebring/sunny-hills-of-sebring/14026/
Family Extended Care of Sebring,"5005 Sun N Lake Blvd, Sebring, FL 33872",Not available,Assisted Living,https://www.caring.com/senior-living/florida/sebring/family-extended-care-of-sebring,175,(800) 558-0653,Not found
Loving Hearts Alf Inc.,"6015 N Himes Ave, Tampa, FL 33614",Not available,Assisted Living,https://www.caring.com/senior-living/florida/tampa/loving-hearts-alf-inc,8,(800) 558-0653,https://www.seniorcare.com/assisted-living/fl/tampa/helping-heart-assisted-living-facility/12697/
White House #2,"1822 Nebraska Avenue, Palm Harbor, FL 34683",Not available,Assisted Living,https://www.caring.com/senior-living/florida/palm-harbor/white-house-2,10,(800) 558-0653,https://www.seniorcare.com/assisted-living/fl/palm-harbor/white-house-2/14311/
Royal Oaks Manor,"1833 SEMINOLE BLVD, Largo, FL 33778",Not available,Assisted Living,https://www.caring.com/senior-living/florida/largo/royal-oaks-manor-largo,36,(800) 558-0653,https://www.seniorcare.com/assisted-living/fl/largo/royal-oaks-manor/13756/
"Magnolia Retirement Home, Inc","149 MAGNOLIA AVENUE, Sebring, FL 33870",Not available,Assisted Living,https://www.caring.com/senior-living/florida/sebring/magnolia-retirement-home-inc,57,(800) 558-0653,https://www.seniorcare.com/assisted-living/fl/sebring/magnolia-retirement-home/13141/
Haines City Health Care Center,"409 SOUTH 10TH STREET, Haines City, FL 33844",Not available,Assisted Living,https://www.caring.com/senior-living/florida/haines-city/haines-city-health-care-center-33844,120,(800) 558-0653,https://www.seniorcare.com/nursing-homes/fl/haines-city/haines-city-rehabilitation-and-nursing-center/105442/
Saint Lazarus Alf,"5209 Landsman Ave, Tampa, FL 33625",Not available,Assisted Living,https://www.caring.com/senior-living/florida/tampa/saint-lazarus-alf,6,(800) 558-0653,https://www.seniorcare.com/assisted-living/fl/tampa/saint-lazaros-alf/13774/
Advent Christian Village,"10680 Dowling Park Dr, Live Oak, FL 32060",Not available,Assisted Living,https://www.caring.com/senior-living/florida/live-oak/advent-christian-village,Unknown,(800) 558-0653,https://www.seniorcare.com/home-care/fl/live-oak/advent-christian-village-home-care-agency/1538/
Balmoral Assisted Living,"93 Balmoral Drive, Lake Placid, FL 33852",Not available,Assisted Living,https://www.caring.com/senior-living/florida/lake-placid/balmoral-assisted-living-33852,126,(800) 558-0653,https://www.seniorcare.com/assisted-living/fl/lake-placid/balmoral-assisted-living/11840/
ACC Sunshine Assisted Living Facility,"10899 SW 229th St, Miami, FL 33170",Not available,Assisted Living,https://www.caring.com/senior-living/florida/miami/acc-sunshine-assisted-living-facility-33170,Unknown,(800) 558-0653,Not found
Bayou Gardens Palm Harbor,"2275 NEBRASKA AVENUE, Palm Harbor, FL 34683",Not available,Assisted Living,https://www.caring.com/senior-living/florida/palm-harbor/bayou-gardens-palm-harbor,41,(800) 558-0653,https://www.seniorcare.com/assisted-living/fl/palm-harbor/bayou-gardens/11861/
